Bahnhof_Gare_Stazione;Jahr;Anzahl Bahnhofbenutzer
Zürich Altstetten;2022;57000
Zürich Enge;2013;
Zürich Enge;2017;23000
Zürich Enge;2023;25000
Zürich Hardbrücke;2017;
Zürich Hardbrücke;2018;49000
Zürich Hardbrücke;2021;33000
Zürich Hardbrücke;2022;44000
Zürich HB;2013;429000
Zürich HB;2018;443000
Zürich HB;2019;461000
Zürich HB;2020;295000
Zürich Oerlikon;2017;106000
Zürich Oerlikon;2023;114000
Zürich Stadelhofen;2013;
Zürich Stadelhofen;2014;
Zürich Stadelhofen;2018;99000
Zürich Stadelhofen;2022;81000
Uster;2020;22000
Aarau;2019;76000
Aarau;2020;57000
Aarau;2022;69000
Baden;2018;61000
Basel SBB;2017;133000
Basel SBB;2018;134000
Bellinzona;2015;
Bellinzona;2018;15000
Bern;2014;305000
Bern;2017;324000
Biel/Bienne;2015;68000
Biel/Bienne;2021;55000
Biel/Bienne;2023;64000
Chur;2021;31000
Fribourg/Freiburg;2015;31000
Fribourg/Freiburg;2016;31000
Genève;2020;112000
Genève-Aéroport;2013;
Genève-Aéroport;2020;19000
Genève-Eaux-Vives;2015;
Genève-Eaux-Vives;2018;
Lausanne;2014;140000
Lausanne;2018;145000
Lausanne;2019;152000
Lausanne;2023;126000
Lugano;2014;
Lugano;2017;24000
Luzern;2016;163000
Luzern;2018;167000
Luzern;2022;132000
Luzern;2023;144000
Olten;2014;
Olten;2017;75000
Olten;2019;77000
St. Gallen;2016;77000
St. Gallen;2019;82000
Thun;2016;43000
Winterthur;2016;121000
Winterthur;2022;121000
Zug;2015;64000
Zug;2019;68000
Zug;2020;48000
Zug;2022;56000
Zürich Altstetten;2014;
Zürich Altstetten;2019;
Zürich Altstetten;2020;
Zürich Enge;2016;23000
Zürich Enge;2018;25000
Zürich Enge;2021;17000
Zürich Hardbrücke;2023;50000
Zürich HB;2021;286000
Zürich Stadelhofen;2016;95000
Zürich Stadelhofen;2023;87000
Uster;2019;28000
Uster;2022;26000
